Mon Jun 04 1990 00:00:00 GMT+0800 (CST)	20
Tue Jun 05 1990 00:00:00 GMT+0800 (CST)	0
Wed Jun 06 1990 00:00:00 GMT+0800 (CST)	0
Thu Jun 07 1990 00:00:00 GMT+0800 (CST)	0.5
Fri Jun 08 1990 00:00:00 GMT+0800 (CST)	18
Sat Jun 09 1990 00:00:00 GMT+0800 (CST)	80
Sun Jun 10 1990 00:00:00 GMT+0800 (CST)	58.5
Mon Jun 11 1990 00:00:00 GMT+0800 (CST)	0
Tue Jun 12 1990 00:00:00 GMT+0800 (CST)	0
Wed Jun 13 1990 00:00:00 GMT+0800 (CST)	0
Thu Jun 14 1990 00:00:00 GMT+0800 (CST)	0
Fri Jun 15 1990 00:00:00 GMT+0800 (CST)	0
Sat Jun 16 1990 00:00:00 GMT+0800 (CST)	1.5
Sun Jun 17 1990 00:00:00 GMT+0800 (CST)	8.5
Mon Jun 18 1990 00:00:00 GMT+0800 (CST)	38
Tue Jun 19 1990 00:00:00 GMT+0800 (CST)	1.5
Wed Jun 20 1990 00:00:00 GMT+0800 (CST)	0
Thu Jun 21 1990 00:00:00 GMT+0800 (CST)	0
Fri Jun 22 1990 00:00:00 GMT+0800 (CST)	0
Sat Jun 23 1990 00:00:00 GMT+0800 (CST)	70.5
Sun Jun 24 1990 00:00:00 GMT+0800 (CST)	55.5
Mon Jun 25 1990 00:00:00 GMT+0800 (CST)	0
Tue Jun 26 1990 00:00:00 GMT+0800 (CST)	1
Wed Jun 27 1990 00:00:00 GMT+0800 (CST)	0
Thu Jun 28 1990 00:00:00 GMT+0800 (CST)	0
Fri Jun 29 1990 00:00:00 GMT+0800 (CST)	1.5
Sat Jun 30 1990 00:00:00 GMT+0800 (CST)	2.5
Sun Jul 01 1990 00:00:00 GMT+0800 (CST)	0
Mon Jul 02 1990 00:00:00 GMT+0800 (CST)	0
Tue Jul 03 1990 00:00:00 GMT+0800 (CST)	8
Wed Jul 04 1990 00:00:00 GMT+0800 (CST)	0.5
Thu Jul 05 1990 00:00:00 GMT+0800 (CST)	0
Fri Jul 06 1990 00:00:00 GMT+0800 (CST)	0
Sat Jul 07 1990 00:00:00 GMT+0800 (CST)	0
Sun Jul 08 1990 00:00:00 GMT+0800 (CST)	0
Mon Jul 09 1990 00:00:00 GMT+0800 (CST)	0
Tue Jul 10 1990 00:00:00 GMT+0800 (CST)	0
Wed Jul 11 1990 00:00:00 GMT+0800 (CST)	0
Thu Jul 12 1990 00:00:00 GMT+0800 (CST)	0
Fri Jul 13 1990 00:00:00 GMT+0800 (CST)	7
Sat Jul 14 1990 00:00:00 GMT+0800 (CST)	30.5
Sun Jul 15 1990 00:00:00 GMT+0800 (CST)	0
Mon Jul 16 1990 00:00:00 GMT+0800 (CST)	0
Tue Jul 17 1990 00:00:00 GMT+0800 (CST)	0
Wed Jul 18 1990 00:00:00 GMT+0800 (CST)	1
Thu Jul 19 1990 00:00:00 GMT+0800 (CST)	10
Fri Jul 20 1990 00:00:00 GMT+0800 (CST)	0
Sat Jul 21 1990 00:00:00 GMT+0800 (CST)	5
Sun Jul 22 1990 00:00:00 GMT+0800 (CST)	0.5
Mon Jul 23 1990 00:00:00 GMT+0800 (CST)	0
Tue Jul 24 1990 00:00:00 GMT+0800 (CST)	0
Wed Jul 25 1990 00:00:00 GMT+0800 (CST)	0
Thu Jul 26 1990 00:00:00 GMT+0800 (CST)	0
Fri Jul 27 1990 00:00:00 GMT+0800 (CST)	0
Sat Jul 28 1990 00:00:00 GMT+0800 (CST)	12.5
Sun Jul 29 1990 00:00:00 GMT+0800 (CST)	1
Mon Jul 30 1990 00:00:00 GMT+0800 (CST)	2
Tue Jul 31 1990 00:00:00 GMT+0800 (CST)	13.5
Wed Aug 01 1990 00:00:00 GMT+0800 (CST)	3.5
Thu Aug 02 1990 00:00:00 GMT+0800 (CST)	6.5
Fri Aug 03 1990 00:00:00 GMT+0800 (CST)	44
Sat Aug 04 1990 00:00:00 GMT+0800 (CST)	93.5
Sun Aug 05 1990 00:00:00 GMT+0800 (CST)	8
Mon Aug 06 1990 00:00:00 GMT+0800 (CST)	0
Tue Aug 07 1990 00:00:00 GMT+0800 (CST)	0
Wed Aug 08 1990 00:00:00 GMT+0800 (CST)	0
Thu Aug 09 1990 00:00:00 GMT+0800 (CST)	0
Fri Aug 10 1990 00:00:00 GMT+0800 (CST)	0
Sat Aug 11 1990 00:00:00 GMT+0800 (CST)	0
Sun Aug 12 1990 00:00:00 GMT+0800 (CST)	0
Mon Aug 13 1990 00:00:00 GMT+0800 (CST)	0
Tue Aug 14 1990 00:00:00 GMT+0800 (CST)	0
Wed Aug 15 1990 00:00:00 GMT+0800 (CST)	0
Thu Aug 16 1990 00:00:00 GMT+0800 (CST)	0
Fri Aug 17 1990 00:00:00 GMT+0800 (CST)	0
