dt	solar	precp	temp_max	temp_min	evap	temp
Thu May 17 1990 00:00:00 GMT+0800 (CST)	20.2	1.5	32.6	22.4	-	26.7
Fri May 18 1990 00:00:00 GMT+0800 (CST)	6.8	2	24.5	20.1	-	22.2
Sat May 19 1990 00:00:00 GMT+0800 (CST)	2.6	33.5	22.4	19.9	-	21
Sun May 20 1990 00:00:00 GMT+0800 (CST)	17.8	0	28.2	20.4	-	23.6
Mon May 21 1990 00:00:00 GMT+0800 (CST)	22.6	0	30.4	20.7	-	24.9
Tue May 22 1990 00:00:00 GMT+0800 (CST)	23.4	0	31.3	20.3	-	25.8
Wed May 23 1990 00:00:00 GMT+0800 (CST)	20.9	0	31.8	22.8	-	26.1
Thu May 24 1990 00:00:00 GMT+0800 (CST)	20.3	1.5	28	20.8	-	24.2
Fri May 25 1990 00:00:00 GMT+0800 (CST)	5.6	0	25.1	19	-	21.8
Sat May 26 1990 00:00:00 GMT+0800 (CST)	11.6	0	28	20.7	-	23.5
Sun May 27 1990 00:00:00 GMT+0800 (CST)	22.2	0	30.8	21.9	-	25.3
Mon May 28 1990 00:00:00 GMT+0800 (CST)	21.4	0	31.3	22.5	-	26.3
Tue May 29 1990 00:00:00 GMT+0800 (CST)	21.1	0	31.3	23.1	-	26.7
Wed May 30 1990 00:00:00 GMT+0800 (CST)	20.3	0	31.5	23	-	26.8
Thu May 31 1990 00:00:00 GMT+0800 (CST)	18.9	0	32.4	24.5	-	27.4
Fri Jun 01 1990 00:00:00 GMT+0800 (CST)	11.2	0	30.9	23.2	-	25.9
Sat Jun 02 1990 00:00:00 GMT+0800 (CST)	19	0	31.6	23.5	-	26
Sun Jun 03 1990 00:00:00 GMT+0800 (CST)	6.1	60	28.3	22.7	-	24.2
Mon Jun 04 1990 00:00:00 GMT+0800 (CST)	6.8	20	28.1	23.3	-	24.8
Tue Jun 05 1990 00:00:00 GMT+0800 (CST)	12.4	0	29.6	22.8	-	25.1
Wed Jun 06 1990 00:00:00 GMT+0800 (CST)	16.1	0	31.7	22.6	-	25.8
Thu Jun 07 1990 00:00:00 GMT+0800 (CST)	10.9	0.5	31.1	23.6	-	26.6
Fri Jun 08 1990 00:00:00 GMT+0800 (CST)	7.8	18	29.4	24.4	-	26.2
Sat Jun 09 1990 00:00:00 GMT+0800 (CST)	5.3	80	27	23.7	-	25.1
Sun Jun 10 1990 00:00:00 GMT+0800 (CST)	5.4	58.5	27.4	23.3	-	24.8
Mon Jun 11 1990 00:00:00 GMT+0800 (CST)	21.1	0	31.8	23.1	-	27
Tue Jun 12 1990 00:00:00 GMT+0800 (CST)	21.7	0	32.4	24.3	-	27.9
Wed Jun 13 1990 00:00:00 GMT+0800 (CST)	22.4	0	32.6	24.7	-	28.3
Thu Jun 14 1990 00:00:00 GMT+0800 (CST)	20.3	0	32.6	24.5	-	28.4
Fri Jun 15 1990 00:00:00 GMT+0800 (CST)	23.2	0	34	25	-	29.2
Sat Jun 16 1990 00:00:00 GMT+0800 (CST)	8.9	1.5	30.4	25.9	-	27.3
Sun Jun 17 1990 00:00:00 GMT+0800 (CST)	11.2	8.5	32	23.6	-	26.3
Mon Jun 18 1990 00:00:00 GMT+0800 (CST)	12.1	38	31.3	22.5	-	25.5
Tue Jun 19 1990 00:00:00 GMT+0800 (CST)	22.9	1.5	33.2	22.3	-	27.7
Wed Jun 20 1990 00:00:00 GMT+0800 (CST)	24.1	0	33.2	23	-	28
Thu Jun 21 1990 00:00:00 GMT+0800 (CST)	18.4	0	32	24.6	-	27.6
Fri Jun 22 1990 00:00:00 GMT+0800 (CST)	8.6	0	30	25.1	-	27.3
Sat Jun 23 1990 00:00:00 GMT+0800 (CST)	5.9	70.5	29.2	24.3	-	25.9
Sun Jun 24 1990 00:00:00 GMT+0800 (CST)	5.6	55.5	28.5	23.1	-	25.2
Mon Jun 25 1990 00:00:00 GMT+0800 (CST)	21.7	0	32	22.7	-	27.7
Tue Jun 26 1990 00:00:00 GMT+0800 (CST)	16.8	1	32	24.5	-	27.7
Wed Jun 27 1990 00:00:00 GMT+0800 (CST)	16	0	31.3	23.9	-	27.6
Thu Jun 28 1990 00:00:00 GMT+0800 (CST)	17	0	33.7	23.7	-	27.9
Fri Jun 29 1990 00:00:00 GMT+0800 (CST)	10.1	1.5	30.5	24.7	-	26.9
Sat Jun 30 1990 00:00:00 GMT+0800 (CST)	8.5	2.5	30.3	24	-	26.3
Sun Jul 01 1990 00:00:00 GMT+0800 (CST)	16.33	0	31.4	24.1	5.4	27.6
Mon Jul 02 1990 00:00:00 GMT+0800 (CST)	20.42	0	33.1	24.1	6.4	28.4
Tue Jul 03 1990 00:00:00 GMT+0800 (CST)	16.77	8	32.7	24.4	6	27.6
Wed Jul 04 1990 00:00:00 GMT+0800 (CST)	7.93	0.5	32	24.5	6	27.2
Thu Jul 05 1990 00:00:00 GMT+0800 (CST)	15.54	0	32.9	25.1	3.2	28.2
Fri Jul 06 1990 00:00:00 GMT+0800 (CST)	16.51	0	32.1	25	4.1	28.2
Sat Jul 07 1990 00:00:00 GMT+0800 (CST)	16.42	0	32	25.8	4.3	28.4
Sun Jul 08 1990 00:00:00 GMT+0800 (CST)	17.89	0	32.5	25.3	5.8	28.3
Mon Jul 09 1990 00:00:00 GMT+0800 (CST)	10.88	0	32.4	25.2	1.3	27.7
Tue Jul 10 1990 00:00:00 GMT+0800 (CST)	14.95	0	32.7	25.4	2.8	28.3
Wed Jul 11 1990 00:00:00 GMT+0800 (CST)	20.75	0	34.3	23.2	5.3	28.8
Thu Jul 12 1990 00:00:00 GMT+0800 (CST)	23.27	0	34.7	25.2	6.2	29.4
Fri Jul 13 1990 00:00:00 GMT+0800 (CST)	12.38	7	33.8	24	5.3	26.9
Sat Jul 14 1990 00:00:00 GMT+0800 (CST)	11.25	30.5	31.7	23.5	5.5	26.6
Sun Jul 15 1990 00:00:00 GMT+0800 (CST)	23.07	0	33.9	23.8	6.6	28.5
Mon Jul 16 1990 00:00:00 GMT+0800 (CST)	22.91	0	33.5	25.5	6.6	29
Tue Jul 17 1990 00:00:00 GMT+0800 (CST)	21.25	0	33.9	25.8	6.4	29.2
Wed Jul 18 1990 00:00:00 GMT+0800 (CST)	16.37	1	33.5	24.5	4.7	28.1
Thu Jul 19 1990 00:00:00 GMT+0800 (CST)	14.41	10	32.8	23.3	6.8	27.3
Fri Jul 20 1990 00:00:00 GMT+0800 (CST)	14.78	0	32	24	5	27.7
Sat Jul 21 1990 00:00:00 GMT+0800 (CST)	21.3	5	34.3	23.8	6.5	27.7
Sun Jul 22 1990 00:00:00 GMT+0800 (CST)	21.34	0.5	33.6	23.2	6.6	27.4
Mon Jul 23 1990 00:00:00 GMT+0800 (CST)	22.95	0	33.7	22.9	6.7	28.2
Tue Jul 24 1990 00:00:00 GMT+0800 (CST)	21.46	0	33.5	25.6	6.5	29
Wed Jul 25 1990 00:00:00 GMT+0800 (CST)	17.87	0	33.2	26.5	4	29
Thu Jul 26 1990 00:00:00 GMT+0800 (CST)	17.25	0	33.3	26.2	3.9	29.2
Fri Jul 27 1990 00:00:00 GMT+0800 (CST)	12.29	0	33.2	25.3	5.1	28.7
Sat Jul 28 1990 00:00:00 GMT+0800 (CST)	13.13	12.5	33.1	26	4.6	28.4
Sun Jul 29 1990 00:00:00 GMT+0800 (CST)	12.86	1	32.6	24.5	5.2	27.6
Mon Jul 30 1990 00:00:00 GMT+0800 (CST)	6.02	2	29.2	25.4	0.3	26.7
Tue Jul 31 1990 00:00:00 GMT+0800 (CST)	3.32	13.5	27.4	24	0	25.2
Wed Aug 01 1990 00:00:00 GMT+0800 (CST)	10.7	3.5	30.7	24.4	-	26.6
Thu Aug 02 1990 00:00:00 GMT+0800 (CST)	8.2	6.5	31.2	24.1	-	26.3
Fri Aug 03 1990 00:00:00 GMT+0800 (CST)	7	44	30.6	24.5	-	25.7
Sat Aug 04 1990 00:00:00 GMT+0800 (CST)	1.9	93.5	27.8	24.2	-	25.9
Sun Aug 05 1990 00:00:00 GMT+0800 (CST)	6.5	8	29.7	24.4	-	26.9
Mon Aug 06 1990 00:00:00 GMT+0800 (CST)	19.9	0	32.7	24.6	-	28.4
Tue Aug 07 1990 00:00:00 GMT+0800 (CST)	21.1	0	33.1	24.4	-	28.9
Wed Aug 08 1990 00:00:00 GMT+0800 (CST)	21.3	0	34.1	26.7	-	29.8
Thu Aug 09 1990 00:00:00 GMT+0800 (CST)	21.2	0	33.8	26.8	-	29.6
Fri Aug 10 1990 00:00:00 GMT+0800 (CST)	20.4	0	33.1	26.3	-	29.2
Sat Aug 11 1990 00:00:00 GMT+0800 (CST)	18.9	0	33.1	25.1	-	28.5
Sun Aug 12 1990 00:00:00 GMT+0800 (CST)	21.6	0	33.1	24.3	-	28.4
Mon Aug 13 1990 00:00:00 GMT+0800 (CST)	21.6	0	33.2	25.1	-	28.7
Tue Aug 14 1990 00:00:00 GMT+0800 (CST)	19.7	0	33.7	25.6	-	28.7
Wed Aug 15 1990 00:00:00 GMT+0800 (CST)	17.2	0	32.7	25.8	-	28.6
Thu Aug 16 1990 00:00:00 GMT+0800 (CST)	15.5	0	33	24.1	-	28.3
Fri Aug 17 1990 00:00:00 GMT+0800 (CST)	14.9	0	33.4	25.5	-	29
Sat Aug 18 1990 00:00:00 GMT+0800 (CST)	7.8	0.5	32	26.2	-	28.1
Sun Aug 19 1990 00:00:00 GMT+0800 (CST)	2.2	376	27.6	24.7	-	26.1
Mon Aug 20 1990 00:00:00 GMT+0800 (CST)	3.5	108.5	27.4	25	-	26
Tue Aug 21 1990 00:00:00 GMT+0800 (CST)	5.2	50.5	28.7	25	-	26.8
Wed Aug 22 1990 00:00:00 GMT+0800 (CST)	6.6	18.5	29.4	23.4	-	25.7
Thu Aug 23 1990 00:00:00 GMT+0800 (CST)	17.8	0	33.8	22	-	27.7
Fri Aug 24 1990 00:00:00 GMT+0800 (CST)	14.5	6	31.9	24.1	-	27
Sat Aug 25 1990 00:00:00 GMT+0800 (CST)	18.4	0	32.5	23.3	-	27.6
Sun Aug 26 1990 00:00:00 GMT+0800 (CST)	20.7	0	36.3	22.8	-	29.7
Mon Aug 27 1990 00:00:00 GMT+0800 (CST)	17.2	0	34.2	25.2	-	29.5
Tue Aug 28 1990 00:00:00 GMT+0800 (CST)	17.9	0	34.1	25.4	-	29
Wed Aug 29 1990 00:00:00 GMT+0800 (CST)	14	0	31.9	24.5	-	27.8
Thu Aug 30 1990 00:00:00 GMT+0800 (CST)	2.2	19.5	27.1	24	-	25.7
Fri Aug 31 1990 00:00:00 GMT+0800 (CST)	14.2	0.5	30.7	26	-	28.1
Sat Sep 01 1990 00:00:00 GMT+0800 (CST)	8.1	0	30.3	24.8	-	27.1
Sun Sep 02 1990 00:00:00 GMT+0800 (CST)	14.8	45.5	32.2	23	-	25.8
Mon Sep 03 1990 00:00:00 GMT+0800 (CST)	8.4	7	30.1	22.9	-	25.1
Tue Sep 04 1990 00:00:00 GMT+0800 (CST)	14.3	0	30.5	23.3	-	26.5
Wed Sep 05 1990 00:00:00 GMT+0800 (CST)	16.9	0	31.8	22.8	-	27
Thu Sep 06 1990 00:00:00 GMT+0800 (CST)	13.2	0	31.2	25.1	-	27.3
Fri Sep 07 1990 00:00:00 GMT+0800 (CST)	17.5	6	32.1	23.8	-	28
Sat Sep 08 1990 00:00:00 GMT+0800 (CST)	5.3	28	28.5	23.8	-	25.9
Sun Sep 09 1990 00:00:00 GMT+0800 (CST)	9.5	13	31.7	23.9	-	26
Mon Sep 10 1990 00:00:00 GMT+0800 (CST)	13.5	0.5	32.6	23	-	26.5
Tue Sep 11 1990 00:00:00 GMT+0800 (CST)	17	0	32.3	21.8	-	26.7
Wed Sep 12 1990 00:00:00 GMT+0800 (CST)	19.2	8	32.2	23.3	-	27.1
Thu Sep 13 1990 00:00:00 GMT+0800 (CST)	17.9	0.5	31.9	24.7	-	27.7
Fri Sep 14 1990 00:00:00 GMT+0800 (CST)	17.3	0	31.6	24.6	-	27.7
Sat Sep 15 1990 00:00:00 GMT+0800 (CST)	17.7	2.5	32.4	24.8	-	28.3
Sun Sep 16 1990 00:00:00 GMT+0800 (CST)	17.4	0	31.8	24	-	27.5
Mon Sep 17 1990 00:00:00 GMT+0800 (CST)	16.7	0	31.6	23.2	-	27
Tue Sep 18 1990 00:00:00 GMT+0800 (CST)	12.4	0	30.2	22.4	-	25.3
Wed Sep 19 1990 00:00:00 GMT+0800 (CST)	16.3	0	30.8	22	-	25.8
Thu Sep 20 1990 00:00:00 GMT+0800 (CST)	12.7	0	31.5	23.8	-	26.4
Fri Sep 21 1990 00:00:00 GMT+0800 (CST)	14.5	0	32.1	23.1	-	26.5
Sat Sep 22 1990 00:00:00 GMT+0800 (CST)	17.6	0	30.8	22	-	26.1
Sun Sep 23 1990 00:00:00 GMT+0800 (CST)	16.6	0	30.7	23	-	26.5
Mon Sep 24 1990 00:00:00 GMT+0800 (CST)	18.5	0	31.3	23.4	-	26.8
Tue Sep 25 1990 00:00:00 GMT+0800 (CST)	14.3	0	31	23.2	-	26.6
Wed Sep 26 1990 00:00:00 GMT+0800 (CST)	12.7	0	30.9	23.5	-	26
Thu Sep 27 1990 00:00:00 GMT+0800 (CST)	14.7	0	30.8	23.2	-	26
Fri Sep 28 1990 00:00:00 GMT+0800 (CST)	18.8	0	31.9	22.7	-	26.6
Sat Sep 29 1990 00:00:00 GMT+0800 (CST)	17.1	0	31.4	22.9	-	26.6
Sun Sep 30 1990 00:00:00 GMT+0800 (CST)	15.2	0	31.6	23.6	-	26.7
Mon Oct 01 1990 00:00:00 GMT+0800 (CST)	14.4	0	31.5	23.8	-	26.5
Tue Oct 02 1990 00:00:00 GMT+0800 (CST)	14.8	0	31	23.6	-	26.4
Wed Oct 03 1990 00:00:00 GMT+0800 (CST)	14.7	0	31.1	22.9	-	26.2
